text,text_clean,intent
lần thứ mua ở shop nên chất_lượng khỏi bàn,lần thứ mua ở shop nên chất_lượng khỏi bàn,khen_chat_luong
quan_trọng nhất là shop phục_vụ cực_kì tốt,quan_trọng nhất là shop phục_vụ cực_kì tốt,khen_chat_luong
lần này đặt còn được tặng mã giảm_giá nữa,lần này đặt còn được tặng mã giảm_giá nữa,gia_tri_gia
ncl mình re com men de d mọi người nên mua nha,ncl mình re com men de d mọi người nên mua nha,de_xuat_mua
than k shop ạ iu iu,than k shop ạ iu iu,trung_tinh
uuu,uuu,trung_tinh
rcm nên mua nha,rcm nên mua nha,de_xuat_mua
áo ở ngoài xinh hơn trong hình,áo ở ngoài xinh hơn trong hình,khen_chat_luong
sẽ ủng_hộ tiếp sao cho sản_phẩm nha a,sẽ ủng_hộ tiếp sao cho sản_phẩm nha a,trung_tinh
áo siu siu siu siu đẹp lun,áo siu siu siu siu đẹp lun,khen_chat_luong
đã mua nhiều áo của shop mẫu nào cũng ưng,đã mua nhiều áo của shop mẫu nào cũng ưng,trung_tinh
siêu thích áo của shop chỉ muốn mua hết các mẫu về mặc shop thì rất thân_thiện còn gửi kèm cả tờ giấy hướng_dẫn siêu đáng yêu,siêu thích áo của shop chỉ muốn mua hết các mẫu về mặc shop thì rất thân_thiện còn gửi kèm cả tờ giấy hướng_dẫn siêu đáng yêu,khen_dich_vu
chắc_chắn sẽ ủng_hộ shop tiếp,chắc_chắn sẽ ủng_hộ shop tiếp,khen_chat_luong
shop giao hàng siêu nhanh á,shop giao hàng siêu nhanh á,khen_giao_hang
rất đáng để mua nha,rất đáng để mua nha,trung_tinh
cảm_ơn shop rất nhiều nha a,cảm_ơn shop rất nhiều nha a,khen_dich_vu
so với thời_điểm dịch_bệnh như này thì shop giao thế_là quá nhanh rùi í,so với thời_điểm dịch_bệnh như này thì shop giao thế_là quá nhanh rùi í,khen_giao_hang
đúng với mô_tả giống hình,đúng với mô_tả giống hình,dung_voi_mo_ta
chất_liệu oke,chất_liệu oke,khen_chat_luong
sẽ ủng_hộ tiếp a,sẽ ủng_hộ tiếp a,trung_tinh
chất_liệu li ke,chất_liệu li ke,trung_tinh
đúng với mô_tả đẹp,đúng với mô_tả đẹp,khen_chat_luong
cho shop sao luôn,cho shop sao luôn,trung_tinh
đúng với mô_tả đẹp như hình,đúng với mô_tả đẹp như hình,khen_chat_luong
còn đc tặng chun tóc,còn đc tặng chun tóc,trung_tinh
than k s shop,than k s shop,trung_tinh
bên trong vừa được lót sốp vừa dùng túi_bóng phồng để giữ orm nên dáng rất ok,bên trong vừa được lót sốp vừa dùng túi_bóng phồng để giữ orm nên dáng rất ok,khen_chat_luong
màu_sắc ok,màu_sắc ok,khen_chat_luong
đúng với mô tảđ,đúng với mô tảđ,trung_tinh
chất_liệu đ c,chất_liệu đ c,trung_tinh
dép đi êm rẻ nhưng mới_đầu có mùi nồng nhưng sài lâu sẽ ht và dép hơi to nhưng giá có k thì k đòi_hỏi nhìu,dép đi êm rẻ nhưng mới_đầu có mùi nồng nhưng sài lâu sẽ ht và dép hơi to nhưng giá có k thì k đòi_hỏi nhìu,phan_nan_chat_luong
màu_sắc đẹp,màu_sắc đẹp,khen_chat_luong
đúng với mô_tả đúng với miêu_tả,đúng với mô_tả đúng với miêu_tả,dung_voi_mo_ta
chất_liệu tốt,chất_liệu tốt,khen_chat_luong
chất_liệu xốp,chất_liệu xốp,trung_tinh
màu sắc đen_trắng,màu sắc đen_trắng,trung_tinh
đúng với mô_tả tốt,đúng với mô_tả tốt,khen_chat_luong
rất hợp với số tiền,rất hợp với số tiền,trung_tinh
màu_sắc trắng,màu_sắc trắng,trung_tinh
đúng với mô_tả đúng,đúng với mô_tả đúng,dung_voi_mo_ta
sản_phẩm đẹp đóng_gói chắc_chắn nhất_định sẽ ủng_hộ nh lần sau,sản_phẩm đẹp đóng_gói chắc_chắn nhất_định sẽ ủng_hộ nh lần sau,khen_chat_luong
hình_ảnh mang tính_chất nhận xu,hình_ảnh mang tính_chất nhận xu,trung_tinh
rất đẹp m,rất đẹp m,khen_chat_luong
n nên ủng_hộ shop này nhé,n nên ủng_hộ shop này nhé,trung_tinh
đế cao cm rep đi êm_đẹp hơn mong_đợi cảm_ơn shop nhiều ạ,đế cao cm rep đi êm_đẹp hơn mong_đợi cảm_ơn shop nhiều ạ,khen_chat_luong
sẽ tiếp_tục ủng_hộ shop,sẽ tiếp_tục ủng_hộ shop,trung_tinh
đẹp nhưng hơi to chút,đẹp nhưng hơi to chút,khen_chat_luong
chất_liệu cao_su hay sao ý,chất_liệu cao_su hay sao ý,trung_tinh
